review_id,case_id,timestamp,status,reviewer,reason,ai_root_cause,human_root_cause,ai_confidence,human_confidence,ai_osi_layer,human_osi_layer,is_mock
REV-0302BF,NET-001,2026-08-23T17:19:50.628758+00:00,MODIFIED,Aman,Refined root cause explanation for clarity.,Router sub-interface GigabitEthernet0/0.10 is down.,Human corrected root cause: VLAN 10 interface shutdown.,0.95,1.0,Layer 3,Layer 3,True
REV-FDDD9E,NET-001,2026-08-23T17:19:50.632744+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-6841AC,NET-001,2026-08-23T17:19:50.636867+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-48DE6D,NET-001,2026-08-23T17:19:50.644869+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-48DE6D,NET-001,2026-08-23T17:19:50.651889+00:00,REJECTED,Aman,Incorrect root cause identified by AI.,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-F065FC,NET-001,2026-08-23T17:20:12.671072+00:00,PENDING,Aman (Lead Engineer),,Rule Violation (interface_status): Interface GigabitEthernet0/0.10 is down,N/A,0.95,N/A,Layer 3,N/A,True
REV-F065FC,NET-001,2026-08-23T17:20:12.687290+00:00,ACCEPTED,Aman (Lead Engineer),Confirmed: sub-interface Gi0/0.10 is administratively shut down.,Rule Violation (interface_status): Interface GigabitEthernet0/0.10 is down,Rule Violation (interface_status): Interface GigabitEthernet0/0.10 is down,0.95,0.95,Layer 3,Layer 3,True
REV-B88ED6,NET-008,2026-08-23T17:20:12.710558+00:00,PENDING,Aman (Lead Engineer),,Rule Violation (missing_vlan): Required VLAN 20 is missing from trunk allowed list,N/A,0.95,N/A,Layer 2,N/A,True
REV-B88ED6,NET-008,2026-08-23T17:20:12.737122+00:00,MODIFIED,Aman (Lead Engineer),Clarified root cause phrasing and increased confidence to 1.0.,Rule Violation (missing_vlan): Required VLAN 20 is missing from trunk allowed list,VLAN 20 is pruned from SW1 Fa0/24 allowed VLAN list. Needs explicit VLAN 20 trunk permit.,0.95,1.0,Layer 2,Layer 2,True
REV-FD8945,NET-005,2026-08-23T17:20:12.755785+00:00,PENDING,Aman (Lead Engineer),,Potential issue related to: Web server port 80 unreachable from Sales subnet,N/A,0.7,N/A,Layer 4,N/A,True
REV-FD8945,NET-005,2026-08-23T17:20:12.773297+00:00,REJECTED,Aman (Lead Engineer),Rejected AI diagnosis due to incomplete ACL rule analysis.,Potential issue related to: Web server port 80 unreachable from Sales subnet,N/A,0.7,N/A,Layer 4,N/A,True
REV-0A1B9A,NET-001,2026-08-23T17:20:36.466050+00:00,PENDING,CLI User,,Rule Violation (interface_status): Interface GigabitEthernet0/0.10 is down,N/A,0.95,N/A,Layer 3,N/A,True
REV-91E5A5,NET-001,2026-08-23T17:25:35.365342+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-91E5A5,NET-001,2026-08-23T17:25:35.373514+00:00,ACCEPTED,Aman,Looks accurate.,Router sub-interface GigabitEthernet0/0.10 is down.,Router sub-interface GigabitEthernet0/0.10 is down.,0.95,0.95,Layer 3,Layer 3,True
REV-134C0F,NET-001,2026-08-23T17:25:35.382711+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-134C0F,NET-001,2026-08-23T17:25:35.397120+00:00,ACCEPTED,AuditTester,Audit log validation.,Router sub-interface GigabitEthernet0/0.10 is down.,Router sub-interface GigabitEthernet0/0.10 is down.,0.95,0.95,Layer 3,Layer 3,True
REV-8C1624,NET-001,2026-08-23T17:25:35.406075+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-8C1624,NET-001,2026-08-23T17:25:35.423750+00:00,ACCEPTED,Aman,Approved as presented.,Router sub-interface GigabitEthernet0/0.10 is down.,Router sub-interface GigabitEthernet0/0.10 is down.,0.95,0.95,Layer 3,Layer 3,True
REV-77F374,NET-001,2026-08-23T17:25:35.445853+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-77F374,NET-001,2026-08-23T17:25:35.468157+00:00,ACCEPTED,Rev1,Approved as presented.,Router sub-interface GigabitEthernet0/0.10 is down.,Router sub-interface GigabitEthernet0/0.10 is down.,0.95,0.95,Layer 3,Layer 3,True
REV-F57660,NET-001,2026-08-23T17:25:35.482738+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-F57660,NET-001,2026-08-23T17:25:35.518183+00:00,MODIFIED,Rev2,Correction,Router sub-interface GigabitEthernet0/0.10 is down.,Correction test,0.95,0.95,Layer 3,Layer 3,True
REV-E957D3,NET-001,2026-08-23T17:25:35.736486+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-E957D3,NET-001,2026-08-23T17:25:36.035187+00:00,REJECTED,Rev3,Rejection test,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-7A1002,NET-001,2026-08-23T17:25:36.131265+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-A5E6AC,NET-001,2026-08-23T17:25:36.147770+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-A5E6AC,NET-001,2026-08-23T17:25:36.201249+00:00,MODIFIED,Aman,Refined root cause explanation for clarity.,Router sub-interface GigabitEthernet0/0.10 is down.,Human corrected root cause: VLAN 10 interface shutdown.,0.95,1.0,Layer 3,Layer 3,True
REV-DFA5A3,NET-001,2026-08-23T17:25:36.207750+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-24F770,NET-001,2026-08-23T17:25:36.267095+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-D3B166,NET-001,2026-08-23T17:25:36.277043+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-D3B166,NET-001,2026-08-23T17:25:36.287074+00:00,REJECTED,Aman,Incorrect root cause identified by AI.,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-5D47C3,NET-001,2026-08-23T17:26:45.540010+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-5D47C3,NET-001,2026-08-23T17:26:45.562316+00:00,ACCEPTED,Aman,Looks accurate.,Router sub-interface GigabitEthernet0/0.10 is down.,Router sub-interface GigabitEthernet0/0.10 is down.,0.95,0.95,Layer 3,Layer 3,True
REV-2B3DF4,NET-001,2026-08-23T17:26:45.571908+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-2B3DF4,NET-001,2026-08-23T17:26:45.582680+00:00,ACCEPTED,AuditTester,Audit log validation.,Router sub-interface GigabitEthernet0/0.10 is down.,Router sub-interface GigabitEthernet0/0.10 is down.,0.95,0.95,Layer 3,Layer 3,True
REV-98AF39,NET-001,2026-08-23T17:26:45.604572+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-98AF39,NET-001,2026-08-23T17:26:45.618157+00:00,ACCEPTED,Aman,Approved as presented.,Router sub-interface GigabitEthernet0/0.10 is down.,Router sub-interface GigabitEthernet0/0.10 is down.,0.95,0.95,Layer 3,Layer 3,True
REV-53A9C5,NET-001,2026-08-23T17:26:45.633777+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-53A9C5,NET-001,2026-08-23T17:26:45.674579+00:00,ACCEPTED,Rev1,Approved as presented.,Router sub-interface GigabitEthernet0/0.10 is down.,Router sub-interface GigabitEthernet0/0.10 is down.,0.95,0.95,Layer 3,Layer 3,True
REV-94FCF0,NET-001,2026-08-23T17:26:45.702265+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-94FCF0,NET-001,2026-08-23T17:26:45.728106+00:00,MODIFIED,Rev2,Correction,Router sub-interface GigabitEthernet0/0.10 is down.,Correction test,0.95,0.95,Layer 3,Layer 3,True
REV-7934DA,NET-001,2026-08-23T17:26:45.757370+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-7934DA,NET-001,2026-08-23T17:26:45.770433+00:00,REJECTED,Rev3,Rejection test,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-04BFC4,NET-001,2026-08-23T17:26:45.783773+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-7D7414,NET-001,2026-08-23T17:26:45.805517+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-7D7414,NET-001,2026-08-23T17:26:45.819772+00:00,MODIFIED,Aman,Refined root cause explanation for clarity.,Router sub-interface GigabitEthernet0/0.10 is down.,Human corrected root cause: VLAN 10 interface shutdown.,0.95,1.0,Layer 3,Layer 3,True
REV-0AE915,NET-001,2026-08-23T17:26:45.831375+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-2D174E,NET-001,2026-08-23T17:26:45.850468+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-709DCE,NET-001,2026-08-23T17:26:45.864461+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-709DCE,NET-001,2026-08-23T17:26:45.891388+00:00,REJECTED,Aman,Incorrect root cause identified by AI.,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-0EFA75,NET-001,2026-08-23T17:27:35.941584+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-0EFA75,NET-001,2026-08-23T17:27:35.958003+00:00,ACCEPTED,Aman,Looks accurate.,Router sub-interface GigabitEthernet0/0.10 is down.,Router sub-interface GigabitEthernet0/0.10 is down.,0.95,0.95,Layer 3,Layer 3,True
REV-9EC980,NET-001,2026-08-23T17:27:35.968177+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-9EC980,NET-001,2026-08-23T17:27:35.982561+00:00,ACCEPTED,AuditTester,Audit log validation.,Router sub-interface GigabitEthernet0/0.10 is down.,Router sub-interface GigabitEthernet0/0.10 is down.,0.95,0.95,Layer 3,Layer 3,True
REV-C2A993,NET-001,2026-08-23T17:27:35.995879+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-C2A993,NET-001,2026-08-23T17:27:36.007387+00:00,ACCEPTED,Aman,Approved as presented.,Router sub-interface GigabitEthernet0/0.10 is down.,Router sub-interface GigabitEthernet0/0.10 is down.,0.95,0.95,Layer 3,Layer 3,True
REV-AE3A10,NET-001,2026-08-23T17:27:36.022789+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-AE3A10,NET-001,2026-08-23T17:27:36.035470+00:00,ACCEPTED,Rev1,Approved as presented.,Router sub-interface GigabitEthernet0/0.10 is down.,Router sub-interface GigabitEthernet0/0.10 is down.,0.95,0.95,Layer 3,Layer 3,True
REV-F788F0,NET-001,2026-08-23T17:27:36.045518+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-F788F0,NET-001,2026-08-23T17:27:36.062043+00:00,MODIFIED,Rev2,Correction,Router sub-interface GigabitEthernet0/0.10 is down.,Correction test,0.95,0.95,Layer 3,Layer 3,True
REV-7399E3,NET-001,2026-08-23T17:27:36.071371+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-7399E3,NET-001,2026-08-23T17:27:36.084648+00:00,REJECTED,Rev3,Rejection test,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-7271F4,NET-001,2026-08-23T17:27:36.101212+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-3BE117,NET-001,2026-08-23T17:27:36.115644+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-3BE117,NET-001,2026-08-23T17:27:36.139462+00:00,MODIFIED,Aman,Refined root cause explanation for clarity.,Router sub-interface GigabitEthernet0/0.10 is down.,Human corrected root cause: VLAN 10 interface shutdown.,0.95,1.0,Layer 3,Layer 3,True
REV-F1585F,NET-001,2026-08-23T17:27:36.152468+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-F34A39,NET-001,2026-08-23T17:27:36.163196+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-35598B,NET-001,2026-08-23T17:27:36.181334+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-35598B,NET-001,2026-08-23T17:27:36.201811+00:00,REJECTED,Aman,Incorrect root cause identified by AI.,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-F8312F,NET-001,2026-08-23T17:30:35.520590+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-F8312F,NET-001,2026-08-23T17:30:35.535163+00:00,ACCEPTED,Aman,Looks accurate.,Router sub-interface GigabitEthernet0/0.10 is down.,Router sub-interface GigabitEthernet0/0.10 is down.,0.95,0.95,Layer 3,Layer 3,True
REV-7A8DF0,NET-001,2026-08-23T17:30:35.541853+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-7A8DF0,NET-001,2026-08-23T17:30:35.554155+00:00,ACCEPTED,AuditTester,Audit log validation.,Router sub-interface GigabitEthernet0/0.10 is down.,Router sub-interface GigabitEthernet0/0.10 is down.,0.95,0.95,Layer 3,Layer 3,True
REV-A48682,NET-001,2026-08-23T17:30:35.563728+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-A48682,NET-001,2026-08-23T17:30:35.580976+00:00,ACCEPTED,Aman,Approved as presented.,Router sub-interface GigabitEthernet0/0.10 is down.,Router sub-interface GigabitEthernet0/0.10 is down.,0.95,0.95,Layer 3,Layer 3,True
REV-CBAEC8,NET-001,2026-08-23T17:30:35.591900+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-CBAEC8,NET-001,2026-08-23T17:30:35.601863+00:00,ACCEPTED,Rev1,Approved as presented.,Router sub-interface GigabitEthernet0/0.10 is down.,Router sub-interface GigabitEthernet0/0.10 is down.,0.95,0.95,Layer 3,Layer 3,True
REV-8C4FF0,NET-001,2026-08-23T17:30:35.611116+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-8C4FF0,NET-001,2026-08-23T17:30:35.621297+00:00,MODIFIED,Rev2,Correction,Router sub-interface GigabitEthernet0/0.10 is down.,Correction test,0.95,0.95,Layer 3,Layer 3,True
REV-38FCF5,NET-001,2026-08-23T17:30:35.629450+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-38FCF5,NET-001,2026-08-23T17:30:35.638725+00:00,REJECTED,Rev3,Rejection test,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-3EFC74,NET-001,2026-08-23T17:30:35.650881+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-619C6A,NET-001,2026-08-23T17:30:35.660601+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-619C6A,NET-001,2026-08-23T17:30:35.672511+00:00,MODIFIED,Aman,Refined root cause explanation for clarity.,Router sub-interface GigabitEthernet0/0.10 is down.,Human corrected root cause: VLAN 10 interface shutdown.,0.95,1.0,Layer 3,Layer 3,True
REV-A3942B,NET-001,2026-08-23T17:30:35.691338+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-6298AE,NET-001,2026-08-23T17:30:35.707360+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-B8A4A8,NET-001,2026-08-23T17:30:35.720173+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-B8A4A8,NET-001,2026-08-23T17:30:35.733251+00:00,REJECTED,Aman,Incorrect root cause identified by AI.,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-3DF601,NET-001,2026-08-23T17:39:05.636798+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-3DF601,NET-001,2026-08-23T17:39:05.653835+00:00,ACCEPTED,Aman,Looks accurate.,Router sub-interface GigabitEthernet0/0.10 is down.,Router sub-interface GigabitEthernet0/0.10 is down.,0.95,0.95,Layer 3,Layer 3,True
REV-A58AD6,NET-001,2026-08-23T17:39:05.665500+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-A58AD6,NET-001,2026-08-23T17:39:05.683046+00:00,ACCEPTED,AuditTester,Audit log validation.,Router sub-interface GigabitEthernet0/0.10 is down.,Router sub-interface GigabitEthernet0/0.10 is down.,0.95,0.95,Layer 3,Layer 3,True
REV-B0122F,NET-001,2026-08-23T17:39:05.700036+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-B0122F,NET-001,2026-08-23T17:39:05.722665+00:00,ACCEPTED,Aman,Approved as presented.,Router sub-interface GigabitEthernet0/0.10 is down.,Router sub-interface GigabitEthernet0/0.10 is down.,0.95,0.95,Layer 3,Layer 3,True
REV-F68ACA,NET-001,2026-08-23T17:39:05.734535+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-F68ACA,NET-001,2026-08-23T17:39:05.747838+00:00,ACCEPTED,Rev1,Approved as presented.,Router sub-interface GigabitEthernet0/0.10 is down.,Router sub-interface GigabitEthernet0/0.10 is down.,0.95,0.95,Layer 3,Layer 3,True
REV-984D37,NET-001,2026-08-23T17:39:05.755877+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
REV-984D37,NET-001,2026-08-23T17:39:05.765497+00:00,MODIFIED,Rev2,Correction,Router sub-interface GigabitEthernet0/0.10 is down.,Correction test,0.95,0.95,Layer 3,Layer 3,True
REV-9A9D1D,NET-001,2026-08-23T17:39:05.771638+00:00,PENDING,N/A,,Router sub-interface GigabitEthernet0/0.10 is down.,N/A,0.95,N/A,Layer 3,N/A,True
